"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,24000,,
"2009",,,,24000,,
"2010",,,,24000,,
"2011",9,,,24000,,
"2012",90,17,,24000,,
"2013",110,17,,24000,518,
"2014",175,40,,24000,799,
"2015",344,99,,24863,2171,
"2016",804,210,,28860,2348,
"2017",2106,522,,27628,2667,
"2018",4161,1268,,28523,2862,
"2019",6950,2122,,26270,2892,
"2020",11898,5856,,25137,2905,
"2021",20278,8023,2,24141,2907,
"2022",31845,9970,5,23205,2909,
"2023",44153,11705,5,22507,3293,
"2024",70160,12642,8,26631,3233,
"2025",101167,13067,11,27762,3173,
