EV Model,Capacity
Lucid Gravity Grand Touring,123.0
Mercedes-Benz EQS SUV Maybach 680,118.0
Mercedes-Benz EQS SUV 450+,118.0
Mercedes-Benz EQS SUV 450 4MATIC,118.0
Mercedes-Benz EQS SUV 500 4MATIC,118.0
Mercedes-Benz EQS SUV 580 4MATIC,118.0
Mercedes-Benz EQS 450+,118.0
Mercedes-Benz EQS 450 4MATIC,118.0
Mercedes-Benz EQS 500 4MATIC,118.0
Mercedes-Benz EQS 580 4MATIC,118.0
Lucid Air Sapphire,118.0
Lucid Air Grand Touring,117.0
Mercedes-Benz G 580,116.0
Hongqi E-HS9 120 kWh,112.0
Volvo EX60 P12 AWD,112.0
BMW iX xDrive60,109.1
Lotus Eletre 600,109.0
Lotus Eletre 900,109.0
BMW iX M70 xDrive,108.9
BYD TANG Flagship,108.8
BMW iX3 50 xDrive,108.7
Porsche Cayenne Electric,108.0
Porsche Cayenne Turbo Electric,108.0
Polestar 3 Long Range Single motor,107.0
Polestar 3 Long Range Dual motor,107.0
Polestar 3 Long Range Performance,107.0
Polestar 5 Dual Motor,106.0
Polestar 5 Performance,106.0
Hyundai IONIQ 9 Long Range RWD,106.0
Hyundai IONIQ 9 Long Range AWD,106.0
Hyundai IONIQ 9 Performance AWD,106.0
Polestar 3 Performance,102.0
Volvo ES90 Twin Motor,102.0
Volvo ES90 Twin Motor Performance,102.0
Cadillac LYRIQ 600 E4,102.0
Rolls-Royce Spectre,102.0
Volvo EX90 Twin Motor,102.0
Volvo EX90 Twin Motor Performance,102.0
Polestar 3 Dual Motor,102.0
BMW i7 M70 xDrive,101.7
BMW i7 eDrive50,101.7
BMW i7 xDrive60,101.7
Voyah Free 106 kWh,100.0
Lotus Emeya 600,98.9
Lotus Emeya 900,98.9
Maserati Grecale Folgore,98.6
DS Automobiles N°8 FWD Long Range,97.2
DS Automobiles N°8 AWD Long Range,97.2
Porsche Taycan Plus,97.0
Porsche Taycan 4S Plus,97.0
Porsche Taycan Turbo,97.0
Porsche Taycan Turbo S,97.0
Porsche Taycan Plus Sport Turismo,97.0
Porsche Taycan 4S Plus Sport Turismo,97.0
Porsche Taycan Turbo Sport Turismo,97.0
Porsche Taycan Turbo S Sport Turismo,97.0
Porsche Taycan 4 Cross Turismo,97.0
Porsche Taycan 4S Cross Turismo,97.0
Porsche Taycan Turbo Cross Turismo,97.0
Porsche Taycan Turbo S Cross Turismo,97.0
Porsche Taycan Turbo GT,97.0
Porsche Taycan Turbo GT Weissach,97.0
Audi e-tron GT quattro,97.0
Audi S e-tron GT,97.0
Audi RS e-tron GT,97.0
Audi RS e-tron GT performance,97.0
Porsche Taycan 4 Plus,97.0
Porsche Taycan GTS,97.0
Porsche Taycan GTS Sport Turismo,97.0
Opel Grandland Electric 97 kWh,96.9
Peugeot e-5008 97 kWh Long Range,96.9
Peugeot e-3008 97 kWh Long Range,96.9
MG IM5 Long Range,96.5
MG IM5 Performance,96.5
MG IM6 Long Range,96.5
MG IM6 Performance,96.5
Zeekr 7X Long Range RWD,96.0
Zeekr 7X Privilege AWD,96.0
Kia EV9 99.8 kWh RWD,96.0
Kia EV9 99.8 kWh AWD,96.0
Smart #5 Pro+,96.0
Smart #5 Premium,96.0
Smart #5 Pulse,96.0
Smart #5 Summit Edition,96.0
Zeekr 7GT Long Range RWD,96.0
